"constituency","constituency_no","district","district_no"
"Vilniaus - Šalčininkų",56,"Turgelių",25
"Vilniaus - Šalčininkų",56,"Medininkų",26
"Vilniaus - Šalčininkų",56,"Skynimų",26
"Vilniaus - Šalčininkų",56,"Tabariškių",27
"Vilniaus - Šalčininkų",56,"Akmenynės",28
"Vilniaus - Šalčininkų",56,"Kabiškių",29
"Vilniaus - Šalčininkų",56,"Poškonių",29
"Vilniaus - Šalčininkų",56,"Dieveniškių",30
"Vilniaus - Šalčininkų",56,"Krakūnų",31
"Vilniaus - Šalčininkų",56,"Jurgelionių",32
"Vilniaus - Šalčininkų",56,"Milkūnų",33
"Vilniaus - Šalčininkų",56,"Baušių",34
"Vilniaus - Šalčininkų",56,"Šarkaičių",36
"Vilniaus - Šalčininkų",56,"Rukainių",41
"Vilniaus - Šalčininkų",56,"Senasalio",42
"Vilniaus - Šalčininkų",56,"Savičiūnų",43
"Vilniaus - Šalčininkų",56,"Nemenčinės",51
"Vilniaus - Šalčininkų",56,"Neries",52
"Vilniaus - Šalčininkų",56,"Rakonių",55
"Vilniaus - Trakų",57,"Lentvario",1
"Vilniaus - Trakų",57,"Klevų",2
"Vilniaus - Trakų",57,"Baltosios Vokės",8
"Vilniaus - Trakų",57,"Pagirių",9
"Vilniaus - Trakų",57,"Keturiasdešimties Totorių",10
"Vilniaus - Trakų",57,"Grigaičių",11
"Vilniaus - Trakų",57,"Kyviškių",12
"Vilniaus - Trakų",57,"Marijampolio",22
"Vilniaus - Trakų",57,"Parudaminio",23
"Vilniaus - Trakų",57,"Nemėžio",27
"Vilniaus - Trakų",57,"Skaidiškių",28
"Vilniaus - Trakų",57,"Senojo Tarpupio",30
"Vilniaus - Trakų",57,"Šventininkų",32
"Vilniaus - Trakų",57,"Rudaminos",38
"Vilniaus - Trakų",57,"Kalviškių",39
"Vilniaus - Trakų",57,"Valčiūnų",40
"Vilniaus - Trakų",57,"Lauko",43
"Vilniaus - Trakų",57,"Kilimų",44
"Vilniaus - Trakų",57,"Mažųjų Lygainių",48
"Vilniaus - Trakų",57,"Juodšilių",49
"Vilniaus - Trakų",57,"Melioratorių",50
"Vilniaus - Trakų",57,"Salininkų",451
"Trakų - Elektrėnų",58,"Trakų m.",3
"Trakų - Elektrėnų",58,"Ausieniškių",5
"Trakų - Elektrėnų",58,"Balceriškių",6
"Trakų - Elektrėnų",58,"Beižionių",7
"Trakų - Elektrėnų",58,"Daugirdiškių",8
"Trakų - Elektrėnų",58,"Kazokiškių",9
"Trakų - Elektrėnų",58,"Ismonių",10
"Trakų - Elektrėnų",58,"Pastrėvio",10
"Trakų - Elektrėnų",58,"Semeliškių",11
"Trakų - Elektrėnų",58,"Tiltų",11
"Trakų - Elektrėnų",58,"Rūdiškių",12
"Trakų - Elektrėnų",58,"Vievio",12
"Trakų - Elektrėnų",58,"Šklėrių",13
"Trakų - Elektrėnų",58,"Aukštadvario",14
"Trakų - Elektrėnų",58,"Čižiūnų",15
"Trakų - Elektrėnų",58,"Karapolio",16
"Trakų - Elektrėnų",58,"Grendavės",17
"Trakų - Elektrėnų",58,"Rykantų",21
"Trakų - Elektrėnų",58,"Dusmenų",22
"Trakų - Elektrėnų",58,"Onuškio",23
"Trakų - Elektrėnų",58,"Vaickūniškių",24
"Trakų - Elektrėnų",58,"Kauno Vokės",25
"Trakų - Elektrėnų",58,"Paluknio",25
"Trakų - Elektrėnų",58,"Kunigiškių",26
"Trakų - Elektrėnų",58,"Bijūnų",27
"Trakų - Elektrėnų",58,"Šviesos",27
"Trakų - Elektrėnų",58,"Senųjų Trakų",31
"Trakų - Elektrėnų",58,"Bražuolės",33
"Trakų - Elektrėnų",58,"Žaizdrių",34
"Trakų - Elektrėnų",58,"Jovariškių",35
"Trakų - Elektrėnų",58,"Salkininkų",40
"Trakų - Elektrėnų",58,"Birutės",41
"Trakų - Elektrėnų",58,"Bagdononių",42
"Kaišiadorių - Elektrėnų",59,"Draugystės",1
"Kaišiadorių - Elektrėnų",59,"Vytauto",1
"Kaišiadorių - Elektrėnų",59,"Gedimino",2
"Kaišiadorių - Elektrėnų",59,"Saulės",2
"Kaišiadorių - Elektrėnų",59,"Girelės",3
"Kaišiadorių - Elektrėnų",59,"Sodų",3
"Kaišiadorių - Elektrėnų",59,"Lomenos",4
"Kaišiadorių - Elektrėnų",59,"Versmės",4
"Kaišiadorių - Elektrėnų",59,"Kruonio",5
"Kaišiadorių - Elektrėnų",59,"Kalvių",6
"Kaišiadorių - Elektrėnų",59,"Vilūnų",7
"Kaišiadorių - Elektrėnų",59,"Darsūniškio",8
"Kaišiadorių - Elektrėnų",59,"Ringailių",9
"Kaišiadorių - Elektrėnų",59,"Stoniavos",12
"Kaišiadorių - Elektrėnų",59,"Dainių",13
"Kaišiadorių - Elektrėnų",59,"Gilučių",13
"Kaišiadorių - Elektrėnų",59,"Jagėlonių",14
"Kaišiadorių - Elektrėnų",59,"Stasiūnų",14
"Kaišiadorių - Elektrėnų",59,"Kietaviškių",15
"Kaišiadorių - Elektrėnų",59,"Melioratorių",15
"Kaišiadorių - Elektrėnų",59,"Žiežmarių",16
"Kaišiadorių - Elektrėnų",59,"Gudienos",17
"Kaišiadorių - Elektrėnų",59,"Žaslių",18
"Kaišiadorių - Elektrėnų",59,"Pajautiškių",19
"Kaišiadorių - Elektrėnų",59,"Stabintiškių",20
"Kaišiadorių - Elektrėnų",59,"Beištrakių",21
"Kaišiadorių - Elektrėnų",59,"Tauckūnų",22
"Kaišiadorių - Elektrėnų",59,"Palomenės",23
"Kaišiadorių - Elektrėnų",59,"Zūbiškių",24
"Kaišiadorių - Elektrėnų",59,"Paparčių",25
"Kaišiadorių - Elektrėnų",59,"Rumšiškių",26
"Kaišiadorių - Elektrėnų",59,"Pravieniškių",27
"Kaišiadorių - Elektrėnų",59,"Dovainonių",28
"Kaišiadorių - Elektrėnų",59,"Antakalnio",29
"Kaišiadorių - Elektrėnų",59,"Mūro Strėvininkų",30
"Kaišiadorių - Elektrėnų",59,"Liutonių",31
"Jonavos",60,"Rimkų",1
"Jonavos",60,"Juodmenos",2
"Jonavos",60,"Kregždutės",3
"Jonavos",60,"Bibliotekos",4
"Jonavos",60,"Senamiesčio",6
"Jonavos",60,"Saulutės",7
"Jonavos",60,"Mokyklos",8
"Jonavos",60,"Ateities",9
"Jonavos",60,"Kalnų",10
"Jonavos",60,"Lakštingalų",11
"Jonavos",60,"Lietavos",12
"Jonavos",60,"Baldininkų",13
"Jonavos",60,"Ruklos",14
"Jonavos",60,"Bukonių",15
"Jonavos",60,"Liepių",16
"Jonavos",60,"Batėgalos",17
"Jonavos",60,"Čičinų",18
"Jonavos",60,"Kulvos",19
"Jonavos",60,"Juškonių",20
"Jonavos",60,"Kuigalių",21
"Jonavos",60,"Žeimių",22
"Jonavos",60,"Panoterių",23
"Jonavos",60,"Šilų",24
"Jonavos",60,"Upninkų",25
"Jonavos",60,"Užusalių",26
"Jonavos",60,"Šveicarijos",27
"Ukmergės",61,"S.Daukanto",1
"Ukmergės",61,"Anykščių",2
"Ukmergės",61,"Maironio",3
"Ukmergės",61,"J.Basanavičiaus",4
"Ukmergės",61,"Vytauto",5
"Ukmergės",61,"Kęstučio",6
"Ukmergės",61,"Klaipėdos",7
"Ukmergės",61,"Transporto",8
"Ukmergės",61,"Kauno",9
"Ukmergės",61,"Smėlių",10
"Ukmergės",61,"Krekšlių",11
"Ukmergės",61,"Linų",12
"Ukmergės",61,"Pivonijos",13
"Ukmergės",61,"Pašilės",14
"Ukmergės",61,"Siesikų",15
"Ukmergės",61,"Taujėnų",18
"Ukmergės",61,"Balelių",19
"Ukmergės",61,"Vidiškių",21
"Ukmergės",61,"Rečionių",22
"Ukmergės",61,"Deltuvos",23
"Ukmergės",61,"Dainavos",24
"Ukmergės",61,"Lyduokių",26
"Ukmergės",61,"Pabaisko",28
"Ukmergės",61,"Kulniškių",29
"Ukmergės",61,"Šešuolių",30
"Ukmergės",61,"Liaušių",31
"Ukmergės",61,"Antakalnio",32
"Ukmergės",61,"Krikštėnų",33
"Ukmergės",61,"Laičių",34
"Ukmergės",61,"Veprių",35
"Ukmergės",61,"Želvos",37
"Ukmergės",61,"Žemaitkiemio",40
"Jurbarko",62,"Viešvilės",1
"Jurbarko",62,"Smalininkų",2
"Jurbarko",62,"Jurbarkų",3
"Jurbarko",62,"Rotulių",4
"Jurbarko",62,"Žindaičių",5
"Jurbarko",62,"Eržvilko",6
"Jurbarko",62,"Pašaltuonio",7
"Jurbarko",62,"Lybiškių",8
"Jurbarko",62,"Kartupių",9
"Jurbarko",62,"Rutkiškių",10
"Jurbarko",62,"Pavidaujo",11
"Jurbarko",62,"Girdžių",12
"Jurbarko",62,"Vadžgirio",13
"Jurbarko",62,"Šimkaičių",14
"Jurbarko",62,"Paulių",15
"Jurbarko",62,"Volungiškės",16
"Jurbarko",62,"Juodaičių",17
"Jurbarko",62,"Armeniškių",18
"Jurbarko",62,"Seredžiaus",19
"Jurbarko",62,"Klausučių",20
"Jurbarko",62,"Gricių",21
"Jurbarko",62,"Tamošių",22
"Jurbarko",62,"Veliuonos",23
"Jurbarko",62,"Skaudvilės",24
"Jurbarko",62,"Stakių",24
"Jurbarko",62,"Adakavo",25
"Jurbarko",62,"Raudonės",25
"Jurbarko",62,"Pilies",26
"Jurbarko",62,"Trepų",26
"Jurbarko",62,"Skirsnemunės",27
"Jurbarko",62,"Vaidilų",27
"Jurbarko",62,"Dariaus ir Girėno",28
"Jurbarko",62,"Vydūno",29
"Jurbarko",62,"Vytauto Didžiojo",30
"Jurbarko",62,"Naujamiesčio",31
"Suvalkijos",63,"Kalvarijos Vakarinė",1
"Suvalkijos",63,"Kazlų Rūdos",1
"Suvalkijos",63,"Kalvarijos Rytinė",2
"Suvalkijos",63,"Pušų",2
"Suvalkijos",63,"Jungėnų",3
"Suvalkijos",63,"Mindaugo",3
"Suvalkijos",63,"Brukų",4
"Suvalkijos",63,"Liepų",4
"Suvalkijos",63,"Bagotosios",5
"Suvalkijos",63,"Sūsninkų",5
"Suvalkijos",63,"Antanavo",6
"Suvalkijos",63,"Mockų",6
"Suvalkijos",63,"Jusevičių",7
"Suvalkijos",63,"Višakio Rūdos",7
"Suvalkijos",63,"Jūrės",8
"Suvalkijos",63,"Sangrūdos",8
"Suvalkijos",63,"Jūrės",9
"Suvalkijos",63,"Radiškės",9
"Suvalkijos",63,"Plutiškių",10
"Suvalkijos",63,"Salaperaugio",10
"Suvalkijos",63,"Ąžuolų Būdos",11
"Suvalkijos",63,"Liubavo",11
"Suvalkijos",63,"Bebruliškės",12
"Suvalkijos",63,"Brazavo",12
"Suvalkijos",63,"Būdos",13
"Suvalkijos",63,"Jurgežerių",13
"Suvalkijos",63,"Jankų",14
"Suvalkijos",63,"Tarprubežių",14
"Suvalkijos",63,"Akmenynų",15
"Suvalkijos",63,"Kampinių",16
"Suvalkijos",63,"Mokolų kaimo",16
"Suvalkijos",63,"Aistiškių",17
"Suvalkijos",63,"Šunskų",17
"Suvalkijos",63,"Sasnavos",18
"Suvalkijos",63,"Puskelnių",19
"Suvalkijos",63,"Smilgių",20
"Suvalkijos",63,"Baraginės",21
"Suvalkijos",63,"Patašinės",22
"Suvalkijos",63,"Igliškėlių",23
"Suvalkijos",63,"Igliaukos",24
"Suvalkijos",63,"Šventragio",25
"Suvalkijos",63,"Gudelių",26
"Suvalkijos",63,"Daugirdų",27
"Suvalkijos",63,"Daukšių",28
"Suvalkijos",63,"Padovinio",29
"Suvalkijos",63,"Želsvos",31
"Suvalkijos",63,"Liudvinavo",32
"Suvalkijos",63,"Netičkampio",33
"Suvalkijos",63,"Valavičių",34
"Suvalkijos",63,"Balsupių",35
"Suvalkijos",63,"Varnupių",36
"Suvalkijos",63,"Meškučių",38
"Suvalkijos",63,"Kūlokų",39
"Suvalkijos",63,"Tautkaičių",40
"Suvalkijos",63,"Gavaltuvos",41
"Šakių",64,"Žiburio",1
"Šakių",64,"Varpo",2
"Šakių",64,"Aušros",3
"Šakių",64,"Barzdų",4
"Šakių",64,"Baltrušių",5
"Šakių",64,"Būblelių",6
"Šakių",64,"Panovių",7
"Šakių",64,"Gelgaudiškio",8
"Šakių",64,"Plokščių",9
"Šakių",64,"Griškabūdžio",10
"Šakių",64,"Degutinės",11
"Šakių",64,"Patašinės",12
"Šakių",64,"Paluobių",13
"Šakių",64,"Kidulių",16
"Šakių",64,"Voverių",17
"Šakių",64,"Sudargo",19
"Šakių",64,"Kriūkų",20
"Šakių",64,"Gerdžiūnų",21
"Šakių",64,"Lekėčių",22
"Šakių",64,"Daržininkų",23
"Šakių",64,"Mikytų",23
"Šakių",64,"Lukšių",24
"Šakių",64,"Liepalotų",25
"Šakių",64,"Sūdavos",25
"Šakių",64,"Sintautų",26
"Šakių",64,"Veršių",27
"Šakių",64,"Keturnaujienos",28
"Šakių",64,"Žvirgždaičių",29
"Šakių",64,"Slavikų",30
"Šakių",64,"Gotlybiškių",31
"Šakių",64,"Išdagų",33
"Šakių",64,"Giedručių",34
"Šakių",64,"Ritinių",35
"Šakių",64,"Girėnų",36
"Šakių",64,"Briedžių",37
"Šakių",64,"Kudirkos Naumiesčio",38
"Šakių",64,"Slabadų",43
"Kauno - Kėdainių",65,"Angirių",1
"Kauno - Kėdainių",65,"Ažytėnų",3
"Kauno - Kėdainių",65,"Babtų",4
"Kauno - Kėdainių",65,"Beinaičių",5
"Kauno - Kėdainių",65,"Pagynės",5
"Kauno - Kėdainių",65,"Panevėžiuko",6
"Kauno - Kėdainių",65,"Čekiškės",7
"Kauno - Kėdainių",65,"Liučiūnų",8
"Kauno - Kėdainių",65,"Domeikavos",9
"Kauno - Kėdainių",65,"Josvainių",9
"Kauno - Kėdainių",65,"Neries",10
"Kauno - Kėdainių",65,"Voškonių",11
"Kauno - Kėdainių",65,"Lapių",12
"Kauno - Kėdainių",65,"Krakių",13
"Kauno - Kėdainių",65,"Kunionių",14
"Kauno - Kėdainių",65,"Labūnavos",15
"Kauno - Kėdainių",65,"Langakių",17
"Kauno - Kėdainių",65,"Medėkšių",20
"Kauno - Kėdainių",65,"Meironiškio",21
"Kauno - Kėdainių",65,"Raudondvario",23
"Kauno - Kėdainių",65,"Batniavos",24
"Kauno - Kėdainių",65,"Nociūnų",24
"Kauno - Kėdainių",65,"Paaluonio",26
"Kauno - Kėdainių",65,"Pajieslio",28
"Kauno - Kėdainių",65,"Pašušvio",30
"Kauno - Kėdainių",65,"Pelėdnagių",31
"Kauno - Kėdainių",65,"Pelutavos",32
"Kauno - Kėdainių",65,"Užliedžių",33
"Kauno - Kėdainių",65,"Pernaravos",34
"Kauno - Kėdainių",65,"Vandžiogalos",34
"Kauno - Kėdainių",65,"Padauguvos",35
"Kauno - Kėdainių",65,"Saulėtekių",36
"Kauno - Kėdainių",65,"Daugėliškių",37
"Kauno - Kėdainių",65,"Saviečių",37
"Kauno - Kėdainių",65,"Skaistgirių",40
"Kauno - Kėdainių",65,"Kulautuvos",45
"Kauno - Kėdainių",65,"Vilkijos",46
"Kauno - Kėdainių",65,"Žalgirio",48
"Kauno - Kėdainių",65,"Vainikų",49
"Kauno - Kėdainių",65,"Mokyklos",50
"Kauno - Kėdainių",65,"Saulės",51
"Kauno - Kėdainių",65,"Muniškių",54
"Kauno kaimiškoji",66,"Mastaičių",1
"Kauno kaimiškoji",66,"Pažėrų",2
"Kauno kaimiškoji",66,"Juragių",13
"Kauno kaimiškoji",66,"Ilgakiemio",14
"Kauno kaimiškoji",66,"Teleičių",15
"Kauno kaimiškoji",66,"Karmėlavos",16
"Kauno kaimiškoji",66,"Ramučių",17
"Kauno kaimiškoji",66,"Neveronių",18
"Kauno kaimiškoji",66,"Universiteto",19
"Kauno kaimiškoji",66,"Akademijos",20
"Kauno kaimiškoji",66,"Ringaudų",21
"Kauno kaimiškoji",66,"Nemuno",26
"Kauno kaimiškoji",66,"Šlienavos",28
"Kauno kaimiškoji",66,"Girionių",29
"Kauno kaimiškoji",66,"Taurakiemio",30
"Kauno kaimiškoji",66,"Zapyškio",38
"Kauno kaimiškoji",66,"Altoniškių",39
"Kauno kaimiškoji",66,"Ežerėlio",40
"Kauno kaimiškoji",66,"Garliavos",41
"Kauno kaimiškoji",66,"Liepų",42
"Kauno kaimiškoji",66,"Jonučių",43
"Kauno kaimiškoji",66,"Kačerginės",44
"Kauno kaimiškoji",66,"Linksmakalnio",47
"Kauno kaimiškoji",66,"Meno mokyklos",49
"Kauno kaimiškoji",66,"Bibliotekos",52
"Kauno kaimiškoji",66,"S. Lozoraičio",53
"Prienų - Birštono",67,"Birštono m.",1
"Prienų - Birštono",67,"Dariaus ir Girėno",1
"Prienų - Birštono",67,"Birštono vienkiemio",2
"Prienų - Birštono",67,"J.Basanavičiaus",2
"Prienų - Birštono",67,"Kęstučio",3
"Prienų - Birštono",67,"Nemajūnų",3
"Prienų - Birštono",67,"Statybininkų",4
"Prienų - Birštono",67,"Žemaitkiemio",5
"Prienų - Birštono",67,"Šiauliškių",6
"Prienų - Birštono",67,"Išlaužo",7
"Prienų - Birštono",67,"Naujosios Ūtos",8
"Prienų - Birštono",67,"Jiestrakio",9
"Prienų - Birštono",67,"Klebiškio",10
"Prienų - Birštono",67,"Šilavoto",11
"Prienų - Birštono",67,"Skriaudžių",13
"Prienų - Birštono",67,"Juodbūdžio",14
"Prienų - Birštono",67,"Veiverių",15
"Prienų - Birštono",67,"Balbieriškio miestelio",16
"Prienų - Birštono",67,"Jiezno miesto",17
"Prienų - Birštono",67,"Jiezno kaimiškoji",18
"Prienų - Birštono",67,"Kašonių",19
"Prienų - Birštono",67,"Vėžionių",20
"Prienų - Birštono",67,"Ašmintos",21
"Prienų - Birštono",67,"Strielčių",22
"Prienų - Birštono",67,"Balbieriškio kaimiškoji",23
"Prienų - Birštono",67,"Paprūdžių",24
"Prienų - Birštono",67,"Žiūronių",25
"Prienų - Birštono",67,"Pakuonio",29
"Prienų - Birštono",67,"Purvininkų",30
"Prienų - Birštono",67,"Vyšniūnų",31
"Prienų - Birštono",67,"Užuguosčio",32
"Prienų - Birštono",67,"Pieštuvėnų",33
"Prienų - Birštono",67,"Stakliškių",34
"Vilkaviškio",68,"Vilkaviškio  rytų",1
"Vilkaviškio",68,"Vilkaviškio pietų",2
"Vilkaviškio",68,"Vilkaviškio vakarų",3
"Vilkaviškio",68,"Vilkaviškio šiaurės",4
"Vilkaviškio",68,"Kybartų rytų",5
"Vilkaviškio",68,"Kybartų vakarų",6
"Vilkaviškio",68,"Virbalio",7
"Vilkaviškio",68,"Rimavičių",8
"Vilkaviškio",68,"Bartninkų",9
"Vilkaviškio",68,"Lakštučių",10
"Vilkaviškio",68,"Pašeimenių",11
"Vilkaviškio",68,"Piliakalnių",12
"Vilkaviškio",68,"Gižų",13
"Vilkaviškio",68,"Bačkiškių",14
"Vilkaviškio",68,"Karklinių",15
"Vilkaviškio",68,"Keturvalakių",16
"Vilkaviškio",68,"Gudkaimio",17
"Vilkaviškio",68,"Lauckaimio",18
"Vilkaviškio",68,"Matlaukio",19
"Vilkaviškio",68,"Šiaudiniškių",20
"Vilkaviškio",68,"Vilkupių",21
"Vilkaviškio",68,"Virbalio kaimiškoji",22
"Vilkaviškio",68,"Klausučių",24
"Vilkaviškio",68,"Karalkrėslio",26
"Vilkaviškio",68,"Pajevonio",27
"Vilkaviškio",68,"Alksnėnų",28
"Vilkaviškio",68,"Opšrūtų",29
"Vilkaviškio",68,"Paežerių",30
"Vilkaviškio",68,"Pilviškių",31
"Vilkaviškio",68,"Ramoniškių",32
"Vilkaviškio",68,"Alvito",33
"Vilkaviškio",68,"Giedrių",34
"Vilkaviškio",68,"Klampučių",35
"Vilkaviškio",68,"Serdokų",36
"Vilkaviškio",68,"Uosių",37
"Vilkaviškio",68,"Gražiškių",38
"Vilkaviškio",68,"Girėnų",39
"Vilkaviškio",68,"Vištyčio",40
"Vilkaviškio",68,"Vartų",41
"Vilkaviškio",68,"Pūstapėdžių",42
"Vilkaviškio",68,"Stirniškių",44
"Dzūkijos",69,"Praniūnų",2
"Dzūkijos",69,"Genių",3
"Dzūkijos",69,"Miklusėnų",4
"Dzūkijos",69,"Santaikos",5
"Dzūkijos",69,"Kolegijos",6
"Dzūkijos",69,"Luksnėnų",6
"Dzūkijos",69,"Geištarų",8
"Dzūkijos",69,"Miroslavo",9
"Dzūkijos",69,"Parėčėnų",12
"Dzūkijos",69,"Putinų",12
"Dzūkijos",69,"Papėčių",13
"Dzūkijos",69,"Šaltinių",13
"Dzūkijos",69,"Kumečių",14
"Dzūkijos",69,"Ūdrijos",14
"Dzūkijos",69,"Alytaus dujų ūkio",15
"Dzūkijos",69,"Vankiškių",15
"Dzūkijos",69,"Pramonės",16
"Dzūkijos",69,"Simno",16
"Dzūkijos",69,"Mergalaukio",17
"Dzūkijos",69,"Kalesninkų",18
"Dzūkijos",69,"Kavalčiukų",19
"Dzūkijos",69,"Ąžuolinių",20
"Dzūkijos",69,"Verebiejų",21
"Dzūkijos",69,"Gluosninkų",22
"Dzūkijos",69,"Krokialaukio",23
"Dzūkijos",69,"Ūdrijos",24
"Dzūkijos",69,"Santaikos",25
"Dzūkijos",69,"Punios",26
"Dzūkijos",69,"Raižių",27
"Dzūkijos",69,"Vaisodžių",28
"Dzūkijos",69,"Žagarių",29
"Dzūkijos",69,"Butrimonių",30
"Dzūkijos",69,"Vanagėlių",31
"Dzūkijos",69,"Eičiūnų",32
"Dzūkijos",69,"Pivašiūnų",33
"Dzūkijos",69,"Mikalavo",34
"Dzūkijos",69,"Junčionių",35
"Dzūkijos",69,"Jurgelionių",36
"Dzūkijos",69,"Kedonių",37
"Dzūkijos",69,"Daugų",38
"Dzūkijos",69,"Rodžios",39
"Dzūkijos",69,"Vaikantonių",40
"Dzūkijos",69,"Rimėnų",41
"Dzūkijos",69,"Meškučių",42
"Dzūkijos",69,"Pocelonių",43
"Dzūkijos",69,"Alytaus",44
"Dzūkijos",69,"Venciūnų",45
"Dzūkijos",69,"Alovės",46
"Dzūkijos",69,"Ilgų",47
"Dzūkijos",69,"Makniūnų",48
"Dzūkijos",69,"Ryliškių",49
"Dzūkijos",69,"Nemunaičio",50
"Varėnos - Eišiškių",70,"Puodžių",1
"Varėnos - Eišiškių",70,"Žilinų",2
"Varėnos - Eišiškių",70,"Dubičių",3
"Varėnos - Eišiškių",70,"Panočių",4
"Varėnos - Eišiškių",70,"Kabelių",5
"Varėnos - Eišiškių",70,"Marcinkonių",6
"Varėnos - Eišiškių",70,"Margionių",7
"Varėnos - Eišiškių",70,"Puvočių",8
"Varėnos - Eišiškių",70,"Žiūrų",9
"Varėnos - Eišiškių",70,"Butrimonių",10
"Varėnos - Eišiškių",70,"Krūminių",10
"Varėnos - Eišiškių",70,"Jančiūnų",11
"Varėnos - Eišiškių",70,"Matuizų",11
"Varėnos - Eišiškių",70,"Eišiškių",12
"Varėnos - Eišiškių",70,"Gudakiemio",13
"Varėnos - Eišiškių",70,"Jurzdikos",13
"Varėnos - Eišiškių",70,"Gornostajiškių",14
"Varėnos - Eišiškių",70,"Kibyšių",14
"Varėnos - Eišiškių",70,"Kalesninkų",15
"Varėnos - Eišiškių",70,"Merkinės",15
"Varėnos - Eišiškių",70,"Panaros",16
"Varėnos - Eišiškių",70,"Purvėnų",16
"Varėnos - Eišiškių",70,"Dainavos",17
"Varėnos - Eišiškių",70,"Vilkiautinio",17
"Varėnos - Eišiškių",70,"Pabarės",18
"Varėnos - Eišiškių",70,"Pilvingių",18
"Varėnos - Eišiškių",70,"Tetėnų",19
"Varėnos - Eišiškių",70,"Daržininkų",24
"Varėnos - Eišiškių",70,"Dargužių",25
"Varėnos - Eišiškių",70,"Valkininkų",26
"Varėnos - Eišiškių",70,"Pušelės",27
"Varėnos - Eišiškių",70,"Gudžių",28
"Varėnos - Eišiškių",70,"Nedzingės",29
"Varėnos - Eišiškių",70,"Perlojos",30
"Varėnos - Eišiškių",70,"Sarapiniškių",31
"Varėnos - Eišiškių",70,"Tolkūnų",32
"Varėnos - Eišiškių",70,"Krivilių",33
"Varėnos - Eišiškių",70,"Vydenių",34
"Varėnos - Eišiškių",70,"Dailidžių",35
"Varėnos - Eišiškių",70,"Rudnios",35
"Varėnos - Eišiškių",70,"Parko",36
"Varėnos - Eišiškių",70,"Dzūkų",37
"Varėnos - Eišiškių",70,"Tausiūnų",37
"Varėnos - Eišiškių",70,"Šilo",38
"Varėnos - Eišiškių",70,"Senosios Varėnos",39
"Lazdijų - Druskininkų",71,"Avižienių",1
"Lazdijų - Druskininkų",71,"Senamiesčio",1
"Lazdijų - Druskininkų",71,"Bartelių",2
"Lazdijų - Druskininkų",71,"Naujamiesčio",2
"Lazdijų - Druskininkų",71,"Atgimimo",3
"Lazdijų - Druskininkų",71,"Bugiedos",3
"Lazdijų - Druskininkų",71,"Būdviečio",4
"Lazdijų - Druskininkų",71,"Kloniškių",4
"Lazdijų - Druskininkų",71,"Dumblio",5
"Lazdijų - Druskininkų",71,"Kalviškės",5
"Lazdijų - Druskininkų",71,"Eglės",6
"Lazdijų - Druskininkų",71,"Kapčiamiesčio",6
"Lazdijų - Druskininkų",71,"A.Kirsnos",7
"Lazdijų - Druskininkų",71,"Ratnyčios",7
"Lazdijų - Druskininkų",71,"Grūto",8
"Lazdijų - Druskininkų",71,"Kirsnos",8
"Lazdijų - Druskininkų",71,"Krikštonių",9
"Lazdijų - Druskininkų",71,"Švendubrės",9
"Lazdijų - Druskininkų",71,"Krosnos",10
"Lazdijų - Druskininkų",71,"Viečiūnų",10
"Lazdijų - Druskininkų",71,"Kuklių",11
"Lazdijų - Druskininkų",71,"Neravų",11
"Lazdijų - Druskininkų",71,"Kučiūnų",12
"Lazdijų - Druskininkų",71,"Leipalingio",12
"Lazdijų - Druskininkų",71,"Lipliūnų",13
"Lazdijų - Druskininkų",71,"Vytautų",13
"Lazdijų - Druskininkų",71,"Lazdijų",14
"Lazdijų - Druskininkų",71,"Ricielių",14
"Lazdijų - Druskininkų",71,"Metelių",15
"Lazdijų - Druskininkų",71,"Nemajūnų",16
"Lazdijų - Druskininkų",71,"Noragėlių",17
"Lazdijų - Druskininkų",71,"Petroškų",18
"Lazdijų - Druskininkų",71,"Rudaminos",19
"Lazdijų - Druskininkų",71,"Seiliūnų",20
"Lazdijų - Druskininkų",71,"Seirijų",21
"Lazdijų - Druskininkų",71,"Stebulių",22
"Lazdijų - Druskininkų",71,"Šeštokų",23
"Lazdijų - Druskininkų",71,"Šventežerio",24
"Lazdijų - Druskininkų",71,"Teizų",25
"Lazdijų - Druskininkų",71,"Verstaminų",26
"Lazdijų - Druskininkų",71,"Veisiejų",27
"Lazdijų - Druskininkų",71,"Viktarinos",28
"Lazdijų - Druskininkų",71,"Žagarių",29
"Lazdijų - Druskininkų",71,"Varnėnų",33
